[2021-05-06 22:18:03,948 - INFO] Testing: /content/drive/MyDrive/Colab Notebooks/Deep Fake - PDBR/CVPRW2019_Face_Artifacts/testdata/Task_2_3/evaluation/real/id0_0003/id0_0003_000.jpg
[2021-05-06 22:18:04,039 - INFO] 1 faces are detected.
[2021-05-06 22:18:06,193 - INFO] Prob = 0.0
[2021-05-06 22:18:06,194 - INFO] Testing: /content/drive/MyDrive/Colab Notebooks/Deep Fake - PDBR/CVPRW2019_Face_Artifacts/testdata/Task_2_3/evaluation/real/id0_0003/id0_0003_001.jpg
[2021-05-06 22:18:06,280 - INFO] 1 faces are detected.
[2021-05-06 22:18:08,246 - INFO] Prob = 0.0
[2021-05-06 22:18:08,247 - INFO] Testing: /content/drive/MyDrive/Colab Notebooks/Deep Fake - PDBR/CVPRW2019_Face_Artifacts/testdata/Task_2_3/evaluation/real/id0_0003/id0_0003_002.jpg
[2021-05-06 22:18:08,332 - INFO] 1 faces are detected.
[2021-05-06 22:18:10,294 - INFO] Prob = 0.0
[2021-05-06 22:18:10,294 - INFO] Testing: /content/drive/MyDrive/Colab Notebooks/Deep Fake - PDBR/CVPRW2019_Face_Artifacts/testdata/Task_2_3/evaluation/real/id0_0003/id0_0003_003.jpg
[2021-05-06 22:18:10,384 - INFO] 1 faces are detected.
[2021-05-06 22:18:12,348 - INFO] Prob = 0.0
[2021-05-06 22:18:12,348 - INFO] Testing: /content/drive/MyDrive/Colab Notebooks/Deep Fake - PDBR/CVPRW2019_Face_Artifacts/testdata/Task_2_3/evaluation/real/id0_0003/id0_0003_004.jpg
[2021-05-06 22:18:12,434 - INFO] 1 faces are detected.
[2021-05-06 22:18:14,387 - INFO] Prob = 0.0
[2021-05-06 22:18:14,387 - INFO] Testing: /content/drive/MyDrive/Colab Notebooks/Deep Fake - PDBR/CVPRW2019_Face_Artifacts/testdata/Task_2_3/evaluation/real/id0_0003/id0_0003_005.jpg
[2021-05-06 22:18:14,473 - INFO] 1 faces are detected.
[2021-05-06 22:18:16,423 - INFO] Prob = 0.0
[2021-05-06 22:18:16,424 - INFO] Testing: /content/drive/MyDrive/Colab Notebooks/Deep Fake - PDBR/CVPRW2019_Face_Artifacts/testdata/Task_2_3/evaluation/real/id0_0003/id0_0003_006.jpg
[2021-05-06 22:18:16,511 - INFO] 1 faces are detected.
[2021-05-06 22:18:18,443 - INFO] Prob = 0.0
[2021-05-06 22:18:18,444 - INFO] Testing: /content/drive/MyDrive/Colab Notebooks/Deep Fake - PDBR/CVPRW2019_Face_Artifacts/testdata/Task_2_3/evaluation/real/id0_0003/id0_0003_007.jpg
[2021-05-06 22:18:18,531 - INFO] 1 faces are detected.
[2021-05-06 22:18:20,471 - INFO] Prob = 0.0
[2021-05-06 22:18:20,471 - INFO] Testing: /content/drive/MyDrive/Colab Notebooks/Deep Fake - PDBR/CVPRW2019_Face_Artifacts/testdata/Task_2_3/evaluation/real/id0_0003/id0_0003_008.jpg
[2021-05-06 22:18:20,556 - INFO] 1 faces are detected.
[2021-05-06 22:18:22,467 - INFO] Prob = 0.0
[2021-05-06 22:18:22,468 - INFO] Testing: /content/drive/MyDrive/Colab Notebooks/Deep Fake - PDBR/CVPRW2019_Face_Artifacts/testdata/Task_2_3/evaluation/real/id0_0003/id0_0003_009.jpg
